marmoset,rhesus,gorilla,chimp,human
ADCY10,ADCY10,ADCY10,ADCY10,ADCY10
ADCY2,ADCY2,ADCY2,ADCY2,ADCY2
ADCY3,ADCY3,ADCY3,ADCY3,ADCY3
ADCY4,ADCY4,ADCY4,ADCY4,ADCY4
ADCY5,ADCY5,ADCY5,ADCY5,ADCY5
ADCY6,ADCY6,ADCY6,ADCY6,ADCY6
ADCY8,ADCY8,ADCY8,ADCY8,ADCY8
ADCYAP1,ADCYAP1,ADCYAP1,ADCYAP1,ADCYAP1
ADCYAP1R1,ADCYAP1R1,ADCYAP1R1,ADCYAP1R1,ADCYAP1R1
ADD1,ADD1,ADD1,ADD1,ADD1
ADD2,ADD2,ADD2,ADD2,ADD2
ADD3,ADD3,ADD3,ADD3,ADD3
ADGB,ADGB,ADGB,ADGB,ADGB
ADGRA1,ADGRA1,ADGRA1,ADGRA1,ADGRA1
ADGRA2,ADGRA2,ADGRA2,ADGRA2,ADGRA2
ADGRA3,ADGRA3,ADGRA3,ADGRA3,ADGRA3
ADGRB1,ADGRB1,ADGRB1,ADGRB1,ADGRB1
ADGRB2,ADGRB2,ADGRB2,ADGRB2,ADGRB2
ADGRB3,ADGRB3,ADGRB3,ADGRB3,ADGRB3
ADGRD1,ADGRD1,ADGRD1,ADGRD1,ADGRD1
ADGRD2,ADGRD2,ADGRD2,ADGRD2,ADGRD2
ADGRE1,ADGRE1,ADGRE1,ADGRE1,ADGRE1
ADGRE5,ADGRE5,ADGRE5,ADGRE5,ADGRE5
ADGRF1,ADGRF1,ADGRF1,ADGRF1,ADGRF1
ADGRF2,ADGRF2,ADGRF2,ADGRF2,ADGRF2
ADGRF3,ADGRF3,ADGRF3,ADGRF3,ADGRF3
ADGRF4,ADGRF4,ADGRF4,ADGRF4,ADGRF4
ADGRG2,ADGRG2,ADGRG2,ADGRG2,ADGRG2
ADGRG4,ADGRG4,ADGRG4,ADGRG4,ADGRG4
ADGRG6,ADGRG6,ADGRG6,ADGRG6,ADGRG6
ADGRG7,ADGRG7,ADGRG7,ADGRG7,ADGRG7
ADGRL1,ADGRL1,ADGRL1,ADGRL1,ADGRL1
ADGRL2,ADGRL2,ADGRL2,ADGRL2,ADGRL2
ADGRL3,ADGRL3,ADGRL3,ADGRL3,ADGRL3
ADGRL4,ADGRL4,ADGRL4,ADGRL4,ADGRL4
ADGRV1,ADGRV1,ADGRV1,ADGRV1,ADGRV1
ADH4,ADH4,ADH4,ADH4,ADH4
ADH5,ADH5,ADH5,ADH5,ADH5
ADHFE1,ADHFE1,ADHFE1,ADHFE1,ADHFE1
ADI1,ADI1,ADI1,ADI1,ADI1
ADIG,ADIG,ADIG,ADIG,ADIG
ADIPOR1,ADIPOR1,ADIPOR1,ADIPOR1,ADIPOR1
ADIPOR2,ADIPOR2,ADIPOR2,ADIPOR2,ADIPOR2
ADIRF,ADIRF,ADIRF,ADIRF,ADIRF
ADK,ADK,ADK,ADK,ADK
ADM,ADM,ADM,ADM,ADM
ADM5,ADM5,ADM5,ADM5,ADM5
ADNP,ADNP,ADNP,ADNP,ADNP
ADNP2,ADNP2,ADNP2,ADNP2,ADNP2
ADO,ADO,ADO,ADO,ADO
ADORA1,ADORA1,ADORA1,ADORA1,ADORA1
ADORA2A,ADORA2A,ADORA2A,ADORA2A,ADORA2A
ADORA2B,ADORA2B,ADORA2B,ADORA2B,ADORA2B
ADPGK,ADPGK,ADPGK,ADPGK,ADPGK
ADPRH,ADPRH,ADPRH,ADPRH,ADPRH
ADPRHL2,ADPRHL2,ADPRHL2,ADPRHL2,ADPRHL2
ADPRM,ADPRM,ADPRM,ADPRM,ADPRM
ADRA1A,ADRA1A,ADRA1A,ADRA1A,ADRA1A
ADRA1B,ADRA1B,ADRA1B,ADRA1B,ADRA1B
ADRA1D,ADRA1D,ADRA1D,ADRA1D,ADRA1D
ADRA2A,ADRA2A,ADRA2A,ADRA2A,ADRA2A
ADRA2B,ADRA2B,ADRA2B,ADRA2B,ADRA2B
ADRA2C,ADRA2C,ADRA2C,ADRA2C,ADRA2C
ADRB1,ADRB1,ADRB1,ADRB1,ADRB1
ADRB2,ADRB2,ADRB2,ADRB2,ADRB2
ADRM1,ADRM1,ADRM1,ADRM1,ADRM1
ADSL,ADSL,ADSL,ADSL,ADSL
ADSS,ADSS,ADSS,ADSS,ADSS
ADSSL1,ADSSL1,ADSSL1,ADSSL1,ADSSL1
ADTRP,ADTRP,ADTRP,ADTRP,ADTRP
AEBP1,AEBP1,AEBP1,AEBP1,AEBP1
AEBP2,AEBP2,AEBP2,AEBP2,AEBP2
AEN,AEN,AEN,AEN,AEN
AFAP1,AFAP1,AFAP1,AFAP1,AFAP1
AFAP1L1,AFAP1L1,AFAP1L1,AFAP1L1,AFAP1L1
AFAP1L2,AFAP1L2,AFAP1L2,AFAP1L2,AFAP1L2
AFF1,AFF1,AFF1,AFF1,AFF1
AFF2,AFF2,AFF2,AFF2,AFF2
AFF3,AFF3,AFF3,AFF3,AFF3
AFF4,AFF4,AFF4,AFF4,AFF4
AFG3L2,AFG3L2,AFG3L2,AFG3L2,AFG3L2
AFM,AFM,AFM,AFM,AFM
AFMID,AFMID,AFMID,AFMID,AFMID
AFP,AFP,AFP,AFP,AFP
AFTPH,AFTPH,AFTPH,AFTPH,AFTPH
AGA,AGA,AGA,AGA,AGA
AGAP1,AGAP1,AGAP1,AGAP1,AGAP1
AGAP2,AGAP2,AGAP2,AGAP2,AGAP2
AGAP3,AGAP3,AGAP3,AGAP3,AGAP3
AGBL1,AGBL1,AGBL1,AGBL1,AGBL1
AGBL2,AGBL2,AGBL2,AGBL2,AGBL2
AGBL3,AGBL3,AGBL3,AGBL3,AGBL3
AGBL5,AGBL5,AGBL5,AGBL5,AGBL5
AGER,AGER,AGER,AGER,AGER
AGFG1,AGFG1,AGFG1,AGFG1,AGFG1
AGFG2,AGFG2,AGFG2,AGFG2,AGFG2
AGGF1,AGGF1,AGGF1,AGGF1,AGGF1
AGK,AGK,AGK,AGK,AGK
AGL,AGL,AGL,AGL,AGL
AGMAT,AGMAT,AGMAT,AGMAT,AGMAT
AGMO,AGMO,AGMO,AGMO,AGMO
AGO2,AGO2,AGO2,AGO2,AGO2
AGO4,AGO4,AGO4,AGO4,AGO4
AGPAT1,AGPAT1,AGPAT1,AGPAT1,AGPAT1
AGPAT2,AGPAT2,AGPAT2,AGPAT2,AGPAT2
AGPAT3,AGPAT3,AGPAT3,AGPAT3,AGPAT3
AGPAT4,AGPAT4,AGPAT4,AGPAT4,AGPAT4
AGPAT5,AGPAT5,AGPAT5,AGPAT5,AGPAT5
AGPS,AGPS,AGPS,AGPS,AGPS
AGR2,AGR2,AGR2,AGR2,AGR2
AGR3,AGR3,AGR3,AGR3,AGR3
AGRN,AGRN,AGRN,AGRN,AGRN
AGT,AGT,AGT,AGT,AGT
AGTPBP1,AGTPBP1,AGTPBP1,AGTPBP1,AGTPBP1
AGTR1,AGTR1,AGTR1,AGTR1,AGTR1
AGTRAP,AGTRAP,AGTRAP,AGTRAP,AGTRAP
AGXT2,AGXT2,AGXT2,AGXT2,AGXT2
AHCTF1,AHCTF1,AHCTF1,AHCTF1,AHCTF1
AHCY,AHCY,AHCY,AHCY,AHCY
AHCYL1,AHCYL1,AHCYL1,AHCYL1,AHCYL1
AHCYL2,AHCYL2,AHCYL2,AHCYL2,AHCYL2
AHDC1,AHDC1,AHDC1,AHDC1,AHDC1
AHI1,AHI1,AHI1,AHI1,AHI1
AHNAK,AHNAK,AHNAK,AHNAK,AHNAK
AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2
AHR,AHR,AHR,AHR,AHR
AHRR,AHRR,AHRR,AHRR,AHRR
AHSA1,AHSA1,AHSA1,AHSA1,AHSA1
AHSG,AHSG,AHSG,AHSG,AHSG
AIDA,AIDA,AIDA,AIDA,AIDA
AIF1,AIF1,AIF1,AIF1,AIF1
AIF1L,AIF1L,AIF1L,AIF1L,AIF1L
AIFM1,AIFM1,AIFM1,AIFM1,AIFM1
AIFM2,AIFM2,AIFM2,AIFM2,AIFM2
AIFM3,AIFM3,AIFM3,AIFM3,AIFM3
AIG1,AIG1,AIG1,AIG1,AIG1
AIM2,AIM2,AIM2,AIM2,AIM2
AIMP1,AIMP1,AIMP1,AIMP1,AIMP1
AIMP2,AIMP2,AIMP2,AIMP2,AIMP2
AIP,AIP,AIP,AIP,AIP
AIPL1,AIPL1,AIPL1,AIPL1,AIPL1
AIRE,AIRE,AIRE,AIRE,AIRE
AJAP1,AJAP1,AJAP1,AJAP1,AJAP1
AJUBA,AJUBA,AJUBA,AJUBA,AJUBA
AK1,AK1,AK1,AK1,AK1
AK2,AK2,AK2,AK2,AK2
AK3,AK3,AK3,AK3,AK3
AK4,AK4,AK4,AK4,AK4
AK5,AK5,AK5,AK5,AK5
AK6,AK6,AK6,AK6,AK6
AK7,AK7,AK7,AK7,AK7
AK8,AK8,AK8,AK8,AK8
AK9,AK9,AK9,AK9,AK9
AKAP1,AKAP1,AKAP1,AKAP1,AKAP1
AKAP10,AKAP10,AKAP10,AKAP10,AKAP10
AKAP11,AKAP11,AKAP11,AKAP11,AKAP11
AKAP12,AKAP12,AKAP12,AKAP12,AKAP12
AKAP13,AKAP13,AKAP13,AKAP13,AKAP13
AKAP14,AKAP14,AKAP14,AKAP14,AKAP14
AKAP17A,AKAP17A,AKAP17A,AKAP17A,AKAP17A
AKAP2,AKAP2,AKAP2,AKAP2,AKAP2
AKAP3,AKAP3,AKAP3,AKAP3,AKAP3
AKAP5,AKAP5,AKAP5,AKAP5,AKAP5
AKAP6,AKAP6,AKAP6,AKAP6,AKAP6
AKAP7,AKAP7,AKAP7,AKAP7,AKAP7
AKAP8,AKAP8,AKAP8,AKAP8,AKAP8
AKAP8L,AKAP8L,AKAP8L,AKAP8L,AKAP8L
AKAP9,AKAP9,AKAP9,AKAP9,AKAP9
AKIP1,AKIP1,AKIP1,AKIP1,AKIP1
AKIRIN1,AKIRIN1,AKIRIN1,AKIRIN1,AKIRIN1
AKIRIN2,AKIRIN2,AKIRIN2,AKIRIN2,AKIRIN2
AKNA,AKNA,AKNA,AKNA,AKNA
AKNAD1,AKNAD1,AKNAD1,AKNAD1,AKNAD1
AKR1A1,AKR1A1,AKR1A1,AKR1A1,AKR1A1
AKR1B1,AKR1B1,AKR1B1,AKR1B1,AKR1B1
AKR1C1,AKR1C1,AKR1C1,AKR1C1,AKR1C1
AKR1D1,AKR1D1,AKR1D1,AKR1D1,AKR1D1
AKR1E2,AKR1E2,AKR1E2,AKR1E2,AKR1E2
AKR7A2,AKR7A2,AKR7A2,AKR7A2,AKR7A2
AKT1,AKT1,AKT1,AKT1,AKT1
AKT1S1,AKT1S1,AKT1S1,AKT1S1,AKT1S1
AKT2,AKT2,AKT2,AKT2,AKT2
AKT3,AKT3,AKT3,AKT3,AKT3
ALAD,ALAD,ALAD,ALAD,ALAD
ALAS1,ALAS1,ALAS1,ALAS1,ALAS1
ALAS2,ALAS2,ALAS2,ALAS2,ALAS2
ALB,ALB,ALB,ALB,ALB
ALCAM,ALCAM,ALCAM,ALCAM,ALCAM
ALDH16A1,ALDH16A1,ALDH16A1,ALDH16A1,ALDH16A1
ALDH18A1,ALDH18A1,ALDH18A1,ALDH18A1,ALDH18A1
ALDH1A1,ALDH1A1,ALDH1A1,ALDH1A1,ALDH1A1
ALDH1A2,ALDH1A2,ALDH1A2,ALDH1A2,ALDH1A2
ALDH1A3,ALDH1A3,ALDH1A3,ALDH1A3,ALDH1A3
ALDH1B1,ALDH1B1,ALDH1B1,ALDH1B1,ALDH1B1
ALDH1L1,ALDH1L1,ALDH1L1,ALDH1L1,ALDH1L1
ALDH1L2,ALDH1L2,ALDH1L2,ALDH1L2,ALDH1L2
ALDH2,ALDH2,ALDH2,ALDH2,ALDH2
ALDH3A1,ALDH3A1,ALDH3A1,ALDH3A1,ALDH3A1
ALDH3A2,ALDH3A2,ALDH3A2,ALDH3A2,ALDH3A2
ALDH3B1,ALDH3B1,ALDH3B1,ALDH3B1,ALDH3B1
ALDH4A1,ALDH4A1,ALDH4A1,ALDH4A1,ALDH4A1
ALDH5A1,ALDH5A1,ALDH5A1,ALDH5A1,ALDH5A1
ALDH6A1,ALDH6A1,ALDH6A1,ALDH6A1,ALDH6A1
ALDH7A1,ALDH7A1,ALDH7A1,ALDH7A1,ALDH7A1
ALDH8A1,ALDH8A1,ALDH8A1,ALDH8A1,ALDH8A1
