gene_set_source,gene_set_label,gene_set_type,gene_set_size,within_species_meanAUROC,cross_species_meanAUROC
HGNC,Abhydrolase domain containing,Other,23,0.724789474,0.70695614
HGNC,Vesicle associated membrane proteins,Other,7,0.568922807,0.556868421
HGNC,Wiskott-Aldrich Syndrome protein family,Other,7,0.661396491,0.652889474
HGNC,Cadherins,Cell Adhesion,51,0.958764912,0.945926316
HGNC,Major cadherins,Cell Adhesion,24,0.907249123,0.8885
HGNC,Protocadherins,Cell Adhesion,10,0.772624561,0.759570175
HGNC,Non-clustered protocadherins,Cell Adhesion,10,0.772624561,0.759570175
HGNC,Cadherin related,Cell Adhesion,17,0.868101754,0.847585965
HGNC,Zinc fingers,Other,1165,0.98314386,0.979575439
HGNC,Zinc fingers C2H2-type,Other,501,0.969835088,0.963563158
HGNC,Actin related protein 2/3 complex subunits,Other,8,0.574691228,0.566810526
HGNC,Acyl-CoA synthetase family,Other,20,0.691284211,0.675508772
HGNC,Acyl-CoA thioesterases,Other,8,0.6104,0.604068421
HGNC,SCAN domain containing,Other,46,0.69565614,0.667778947
HGNC,1-acylglycerol-3-phosphate O-acyltransferases,Other,8,0.620778947,0.611947368
HGNC,ADAM metallopeptidase domain containing,Other,16,0.746852632,0.726121053
HGNC,ADAM metallopeptidases with thrombospondin type 1 motif,Other,17,0.829414035,0.796263158
HGNC,Adenylate cyclases,Signaling,8,0.767873684,0.750724561
HGNC,Ring finger proteins,Other,229,0.944877193,0.929278947
HGNC,Tripartite motif containing,Other,55,0.804831579,0.785891228
HGNC,Polycomb group ring fingers,Other,6,0.571470175,0.568354386
HGNC,Zinc fingers AN1-type,Other,8,0.590214035,0.584785965
HGNC,THAP domain containing,Other,10,0.544792982,0.541798246
HGNC,Zinc fingers C2HC-type,Other,12,0.710908772,0.687810526
HGNC,Nuclear hormone receptors,Signaling,45,0.879326316,0.865798246
HGNC,Zinc fingers CCCH-type,Other,32,0.752466667,0.741468421
HGNC,Zinc fingers CCHC-type,Other,16,0.644414035,0.6326
HGNC,Zinc fingers DHHC-type,Other,20,0.713926316,0.695584211
HGNC,Zinc fingers FYVE-type,Other,31,0.766294737,0.746389474
HGNC,GATA zinc finger domain containing,Other,14,0.693003509,0.679052632
HGNC,Zinc fingers HIT-type,Other,6,0.53465614,0.532336842
HGNC,Zinc fingers MIZ-type,Other,7,0.592642105,0.587578947
HGNC,Zinc fingers MYM-type,Other,6,0.561182456,0.552836842
HGNC,Zinc fingers MYND-type,Other,20,0.720249123,0.703908772
HGNC,PHD finger proteins,Other,83,0.853705263,0.836914035
HGNC,Zinc fingers RANBP2-type ,Other,15,0.636045614,0.617968421
HGNC,Zinc fingers SWIM-type,Other,9,0.652438596,0.642263158
HGNC,Zinc fingers ZZ-type,Other,17,0.774357895,0.756333333
HGNC,Zinc fingers CW-type,Other,7,0.592091228,0.580440351
HGNC,Ubiquitin like modifier activating enzymes,Other,9,0.592291228,0.581757895
HGNC,Ubiquitin conjugating enzymes E2,Other,29,0.660821053,0.640268421
HGNC,Aminopeptidases,Other,16,0.654652632,0.633884211
HGNC,Yip1 domain containing,Other,7,0.542147368,0.533214035
HGNC,Aminoacyl tRNA synthetases,Other,16,0.604354386,0.586836842
HGNC,"Aminoacyl tRNA synthetases, Class I",Other,7,0.562301754,0.552347368
HGNC,"Aminoacyl tRNA synthetases, Class II",Other,9,0.571768421,0.559294737
HGNC,Zinc fingers GRF-type,Other,5,0.544992982,0.538787719
HGNC,Zinc fingers CXXC-type,Other,11,0.666617544,0.66497193
HGNC,Zinc fingers 3CxxC-type,Other,5,0.697519298,0.701764912
HGNC,G protein-coupled receptors,Signaling,274,0.973845614,0.964882456
HGNC,"G protein-coupled receptors, Class A rhodopsin-like",Signaling,199,0.962733333,0.951347368
HGNC,Ligand gated ion channels,Ion Channel,72,0.963996491,0.955350877
HGNC,Amine receptors,Signaling,33,0.892645614,0.874233333
HGNC,Adrenoceptors,Signaling,8,0.752645614,0.733336842
HGNC,"5-hydroxytryptamine receptors, G protein-coupled",Signaling,11,0.767922807,0.749408772
HGNC,5-hydroxytryptamine receptors,Signaling,14,0.777680702,0.759966667
HGNC,Cholinergic receptors nicotinic subunits,Signaling,16,0.665715789,0.647366667
HGNC,Cholinergic receptors,Signaling,21,0.750778947,0.736561404
HGNC,Ion channels,Ion Channel,285,0.984424561,0.979750877
HGNC,Voltage-gated ion channels,Ion Channel,132,0.971021053,0.961984211
HGNC,Sodium channels,Ion Channel,18,0.797101754,0.780735088
HGNC,Cholinergic receptors muscarinic,Signaling,5,0.661477193,0.656301754
HGNC,Dopamine receptors,Signaling,5,0.665157143,0.650086116
HGNC,Calcium channels,Ion Channel,36,0.931933333,0.919491228
HGNC,Potassium channels,Ion Channel,68,0.952915789,0.94135614
HGNC,Sodium voltage-gated channels,Ion Channel,11,0.745866667,0.726757895
HGNC,Cation channels sperm associated ,Ion Channel,6,0.560642105,0.550142105
HGNC,Chemokine receptors,Signaling,15,0.584298246,0.581064912
HGNC,Lipid like receptors,Signaling,22,0.690498246,0.677198246
HGNC,Leukotriene receptors,Other,5,0.547872792,0.537673111
HGNC,Prostaglandin receptors,Signaling,8,0.651572954,0.636319298
HGNC,Nucleotide like receptors,Signaling,10,0.651308772,0.643282456
HGNC,Purinergic receptors,Signaling,13,0.626217544,0.609915789
HGNC,P2Y receptors,Signaling,7,0.577336842,0.576696491
HGNC,Purinergic receptors P2X,Signaling,6,0.58454386,0.580007018
HGNC,Opsin receptors,Signaling,6,0.627203509,0.619403509
HGNC,Peptide receptors,Signaling,42,0.856642105,0.835345614
HGNC,Transient receptor potential cation channels,Ion Channel,27,0.843814035,0.814805263
HGNC,Cyclic nucleotide gated channels,Ion Channel,8,0.589084211,0.579514035
HGNC,Calcium voltage-gated channel subunits,Ion Channel,24,0.917136842,0.903207018
HGNC,Potassium calcium-activated channels,Ion Channel,6,0.696754386,0.682557895
HGNC,"G protein-coupled receptors, Class A orphans",Signaling,48,0.802414035,0.79025614
HGNC,"G protein-coupled receptors, Class B secretin-like",Signaling,40,0.857670175,0.837077193
HGNC,Glucagon receptor family,Signaling,5,0.656189964,0.649505282
HGNC,Potassium voltage-gated channels,Ion Channel,34,0.919992982,0.902442105
HGNC,"G protein-coupled receptors, Class C metabotropic glutamate/pheromone",Signaling,17,0.869196491,0.847410526
HGNC,Potassium inwardly rectifying channel subfamily J,Ion Channel,13,0.692989474,0.687975439
HGNC,Potassium two pore domain channel subfamily K ,Ion Channel,13,0.770435088,0.757052632
HGNC,Chloride channels,Ion Channel,31,0.832245614,0.81475614
HGNC,Glutamate metabotropic receptors,Signaling,7,0.84797193,0.823861404
HGNC,Glutamate receptors,Signaling,24,0.959519298,0.951619298
HGNC,Glutamate ionotropic receptors,Signaling,17,0.936189474,0.925485965
HGNC,"G protein-coupled receptors, Class C orphans",Signaling,6,0.534287719,0.531063158
HGNC,"G protein-coupled receptors, Class F frizzled",Signaling,11,0.592417544,0.583994737
HGNC,Taste receptors,Signaling,7,0.541432624,0.532680702
HGNC,Acid sensing ion channel subunits,Ion Channel,5,0.588985965,0.58815614
HGNC,Ion channels by channel type,Ion Channel,182,0.973354386,0.966270175
HGNC,Ion channels by gating mechanism,Ion Channel,214,0.983817544,0.978640351
HGNC,Chloride calcium-activated channels,Ion Channel,14,0.797470175,0.783949123
HGNC,Chloride voltage-gated channels,Other,6,0.575614035,0.568215789
HGNC,Porins,Other,13,0.574715789,0.570592982
HGNC,Aquaporins,Other,10,0.615652632,0.613122807
HGNC,Chloride intracellular channels,Ion Channel,5,0.604610526,0.603589474
HGNC,7TM uncharacterized proteins,Other,11,0.619115789,0.606010526
HGNC,Gap junction proteins,Other,16,0.639694737,0.634552632
HGNC,Receptor kinases,Signaling,75,0.960231579,0.948285965
HGNC,Receptor tyrosine kinases,Signaling,58,0.956547368,0.944010526
HGNC,Guanylate cyclase receptors,Signaling,5,0.554617544,0.537810526
HGNC,Receptor serine/threonine kinase family,Signaling,12,0.70342807,0.691664912
HGNC,Type 1 receptor serine/threonine kinases,Signaling,7,0.671659649,0.660517544
HGNC,Type 2 receptor serine/threonine kinases,Signaling,5,0.586529825,0.580661404
HGNC,Adenylate kinases,Other,9,0.645196491,0.636649123
HGNC,ARF GTPase family,Other,28,0.714884211,0.704063158
HGNC,Ras small GTPase superfamily,Other,146,0.920905263,0.905212281
HGNC,Wnt family,Other,18,0.704357895,0.684161404
HGNC,WAP four-disulfide core domain containing,Other,7,0.548771127,0.542824561
HGNC,WD repeat domain containing,Other,232,0.924178947,0.9051
HGNC,UBX domain containing,Other,13,0.594329825,0.584629825
HGNC,U-box domain containing,Other,6,0.550459649,0.544280702
HGNC,Ubiquitin specific peptidases,Other,45,0.786203509,0.765917544
HGNC,"RAB, member RAS oncogene GTPases",Other,54,0.822687719,0.807796491
HGNC,RAS type GTPase family,Other,33,0.824445614,0.804105263
HGNC,Rho family GTPases,Other,20,0.735291228,0.729203509
HGNC,RAB like GTPases,Other,5,0.546810526,0.537061404
HGNC,ArfGAPs,Other,23,0.81494386,0.799910526
HGNC,A-kinase anchoring proteins,Other,27,0.833687719,0.810268421
HGNC,Aldehyde dehydrogenases,Other,18,0.675933333,0.659007018
HGNC,Aldo-keto reductases,Other,10,0.690315789,0.678736842
HGNC,Alkylation repair homologs,Other,7,0.53945614,0.533424561
HGNC,Anaphase promoting complex ,Other,14,0.584414035,0.569764912
HGNC,Ankyrin repeat domain containing,Other,200,0.958978947,0.946361404
HGNC,Annexins,Other,11,0.687789474,0.670187719
HGNC,Apolipoproteins,Other,11,0.591838596,0.583963158
HGNC,Apolipoprotein B mRNA editing enzyme catalytic subunits,Other,6,0.537251773,0.537722807
HGNC,Arachidonate lipoxygenases,Other,6,0.626368421,0.61425614
HGNC,Argonaute/PIWI family,Other,6,0.569280702,0.559692982
HGNC,Armadillo repeat containing,Other,37,0.782989474,0.749764912
HGNC,Sulfatases,Other,15,0.756663158,0.73392807
HGNC,Ataxins,Other,5,0.583010526,0.575587719
HGNC,ATPases,Other,105,0.901340351,0.88074386
HGNC,AAA ATPases,Other,47,0.753901754,0.735812281
HGNC,P-type ATPases,Other,38,0.883684211,0.864501754
HGNC,V-type ATPase subunits,Other,20,0.621950877,0.603291228
HGNC,ATP binding cassette transporters,Other,41,0.777084211,0.745710526
HGNC,AT-rich interaction domain containing,Other,14,0.681322807,0.667175439
HGNC,Baculoviral IAP repeat containing,Other,6,0.550042105,0.535280702
HGNC,Basic helix-loop-helix proteins,Other,88,0.893470175,0.883431579
HGNC,BEN domain containing,Other,8,0.651168421,0.639549123
HGNC,Glycosyltransferases,Other,155,0.965505263,0.953152632
HGNC,Beta 4-glycosyltransferases,Other,17,0.78245614,0.75942807
HGNC,Beta 3-glycosyltransferases,Other,21,0.705680702,0.683766667
HGNC,Glycosyl transferases group 1 domain containing,Other,6,0.588003509,0.578817544
HGNC,Glycosyltransferase family 2,Other,5,0.547540351,0.541887719
HGNC,Dolichyl D-mannosyl phosphate dependent mannosyltransferases,Other,9,0.570375439,0.556392982
HGNC,Exostosin glycosyltransferase family,Other,5,0.605807018,0.586364912
HGNC,Polypeptide N-acetylgalactosaminyltransferases,Other,17,0.847519298,0.825903509
HGNC,Fucosyltransferases,Other,9,0.629964912,0.611738596
HGNC,Mannosyl-glycoprotein N-acetylglucosaminyltransferases,Other,9,0.770319298,0.750005263
HGNC,Glycosyltransferase family 8,Other,7,0.619294737,0.603045614
HGNC,Sialyltransferases,Cell Adhesion,18,0.870929825,0.850977193
HGNC,Glucosaminyl (N-acetyl) transferases/xylosyltransferases,Other,5,0.637445614,0.62132807
HGNC,Oligosaccharyltransferase complex subunits,Other,12,0.590340351,0.577996491
HGNC,Biogenesis of lysosomal organelles complex 1 subunits,Other,8,0.564294737,0.551729825
HGNC,Blood group antigens,Other,33,0.724091228,0.68825614
HGNC,Bone morphogenetic proteins,Other,6,0.703919298,0.683582456
HGNC,BPI fold containing,Other,9,0.552697183,0.5432
HGNC,BRICHOS domain containing,Other,6,0.565273684,0.559964912
HGNC,Butyrophilins,Other,5,0.641796491,0.630798246
HGNC,S100 calcium binding proteins,Other,13,0.631470175,0.618282456
HGNC,Carbonic anhydrases,Other,13,0.722494737,0.701308772
HGNC,Lipases,Other,20,0.690294737,0.665696491
HGNC,Patatin like phospholipase domain containing,Other,8,0.559350877,0.548366667
HGNC,Phospholipases,Other,32,0.867273684,0.84615614
HGNC,Caspases,Other,8,0.592007018,0.574705263
HGNC,Cathepsins,Other,13,0.615719298,0.602496491
HGNC,CD molecules,Other,265,0.955757895,0.940129825
HGNC,Cyclins,Other,25,0.701740351,0.678057895
HGNC,Non-coding RNAs,Other,5,0.561474265,0.546381371
HGNC,Charged multivesicular body proteins,Other,9,0.542284211,0.539124561
HGNC,Chemokine ligands,Other,15,0.690621053,0.68975614
HGNC,Chromatin modifying enzymes,Other,64,0.821824561,0.796159649
HGNC,Lysine demethylases,Other,19,0.670263158,0.647245614
HGNC,Lysine acetyltransferases,Other,19,0.7036,0.68372807
HGNC,Lysine methyltransferases,Other,26,0.729277193,0.707954386
HGNC,Claudins,Other,12,0.624207018,0.606101754
HGNC,Coiled-coil-helix-coiled-coil-helix domain containing proteins,Other,6,0.535435088,0.530989474
HGNC,Collagens,Other,41,0.906796491,0.869598246
HGNC,Complement system,Other,40,0.696884211,0.666526316
HGNC,Components of oligomeric golgi complex,Other,5,0.577466667,0.567512281
HGNC,Coronins,Other,5,0.639835088,0.628877193
HGNC,Cyclin dependent kinases,Other,23,0.795817544,0.766657895
HGNC,DDB1 and CUL4 associated factors,Other,17,0.663263158,0.651431579
HGNC,DEAD-box helicases,Other,35,0.634315789,0.61807193
HGNC,DEAH-box helicases,Other,15,0.59825614,0.582117544
HGNC,Defensins,Other,5,0.523890625,0.519060391
HGNC,DENN domain containing,Other,23,0.784957895,0.753070175
HGNC,Basic leucine zipper proteins,Other,49,0.812021053,0.797961404
HGNC,Forkhead boxes,Other,27,0.802,0.790391228
HGNC,High mobility group,Other,15,0.610522807,0.597068421
HGNC,Canonical high mobility group,Other,11,0.593259649,0.580785965
HGNC,Homeoboxes,Other,128,0.951842105,0.9441
HGNC,ANTP class homeoboxes,Other,34,0.801003509,0.802259649
HGNC,HOXL subclass homeoboxes,Other,7,0.558590106,0.544339192
HGNC,NKL subclass homeoboxes and pseudogenes,Other,27,0.801652632,0.804075439
HGNC,PRD class homeoboxes and pseudogenes,Other,31,0.760308772,0.757212281
HGNC,LIM class homeoboxes,Other,7,0.760207018,0.755657895
HGNC,POU class homeoboxes and pseudogenes,Other,12,0.744242105,0.726952632
HGNC,TALE class homeoboxes and pseudogenes,Other,10,0.815189474,0.800535088
HGNC,CUT class homeoboxes and pseudogenes,Other,6,0.817740351,0.810485965
HGNC,ZF class homeoboxes and pseudogenes,Other,13,0.834249123,0.818489474
HGNC,CERS class homeoboxes,Other,6,0.577094737,0.551861404
HGNC,Myb/SANT domain containing,Other,45,0.783368421,0.765968421
HGNC,Helix-turn-helix CENPB type domain containing,Other,10,0.545175439,0.545257895
HGNC,ETS transcription factor family,Other,26,0.778122807,0.769024561
HGNC,DNA polymerases,Other,24,0.684014035,0.669619298
HGNC,"Dyneins, axonemal",Other,19,0.69785614,0.677182456
HGNC,Dyneins,Other,25,0.734414035,0.710238596
HGNC,"Dyneins, cytoplasmic",Other,11,0.649866667,0.632389474
HGNC,Elongator acetyltransferase complex ,Other,5,0.539550877,0.530385965
HGNC,EMI domain containing,Other,7,0.626217544,0.592036842
HGNC,Receptor ligands,Signaling,242,0.952940351,0.93684386
HGNC,Exonucleases,Other,14,0.597164912,0.582377193
HGNC,Ephrins,Cell Adhesion,8,0.625207018,0.616310526
HGNC,Exportins,Other,6,0.556449123,0.549649123
HGNC,FA complementation groups,Other,17,0.622515789,0.600812281
HGNC,Fatty acid binding protein family,Other,14,0.606592982,0.604968421
HGNC,Fatty acid hydroxylase domain containing,Other,5,0.616308772,0.597992982
HGNC,Fatty acid desaturases,Other,8,0.628764912,0.62072807
HGNC,Fibrinogen C domain containing,Other,19,0.670838596,0.647433333
HGNC,Fibronectin type III domain containing,Cell Adhesion,150,0.985652632,0.980554386
HGNC,Fibulins,Other,8,0.719364912,0.696485965
HGNC,F-boxes,Other,60,0.805768421,0.780903509
HGNC,F-box and leucine rich repeat proteins,Other,17,0.714929825,0.692989474
HGNC,F-box and WD repeat domain containing,Other,8,0.634210526,0.627950877
HGNC,F-boxes other,Other,35,0.716831579,0.693038596
HGNC,Gamma-aminobutyric acid (GABA) receptors,Signaling,21,0.861761404,0.844770175
HGNC,Gamma-aminobutyric acid type A receptor subunits,Signaling,19,0.847677193,0.830861404
HGNC,General transcription factors,Other,41,0.664978947,0.645415789
HGNC,Soluble glutathione S-transferases,Other,9,0.59725614,0.588036842
HGNC,Proteoglycans,Other,37,0.833950877,0.799868421
HGNC,Glypicans,Signaling,6,0.703870175,0.677503509
HGNC,Small leucine rich repeat proteoglycans,Other,11,0.679487719,0.670494737
HGNC,Collagen proteoglycans,Other,5,0.685266667,0.656298246
HGNC,G-patch domain containing,Other,22,0.638515789,0.625710526
HGNC,HAUS augmin like complex ,Other,8,0.564312281,0.554415789
HGNC,Heat shock proteins,Other,83,0.752024561,0.727038596
HGNC,Heat shock 70kDa proteins,Other,14,0.63022807,0.62345614
HGNC,DNAJ (HSP40) heat shock proteins,Other,45,0.709354386,0.677273684
HGNC,Small heat shock proteins,Other,8,0.601494737,0.600242105
HGNC,Chaperonins,Other,13,0.550905263,0.546950877
HGNC,Immunoglobulin superfamily domain containing,Cell Adhesion,331,0.985996491,0.980912281
HGNC,V-set domain containing,Cell Adhesion,100,0.912778947,0.895982456
HGNC,C1-set domain containing,Other,8,0.616670175,0.605263158
HGNC,C2-set domain containing,Other,27,0.795698246,0.778342105
HGNC,I-set domain containing,Cell Adhesion,151,0.986045614,0.980317544
HGNC,Immunoglobulin like domain containing,Other,91,0.913407018,0.896821053
HGNC,INO80 complex ,Other,14,0.582322807,0.575610526
HGNC,Importins,Other,16,0.641691228,0.626445614
HGNC,Integrins,Other,21,0.806101754,0.774457895
HGNC,Interleukins,Other,26,0.605947368,0.593012281
HGNC,Interleukin receptors,Signaling,34,0.7718,0.744312281
HGNC,Intermediate filaments,Other,39,0.677666667,0.670778947
HGNC,"Keratins, type I",Other,14,0.621462898,0.623144112
HGNC,"Keratins, type II",Other,7,0.560417266,0.550017575
HGNC,Intermediate filaments Type IV,Other,6,0.631108772,0.634210526
HGNC,Intraflagellar transport complexes,Other,26,0.696898246,0.668475439
HGNC,Kallikreins,Other,12,0.623293286,0.611140351
HGNC,Kelch like,Other,39,0.853680702,0.830505263
HGNC,Killer cell lectin like receptors,Other,7,0.57766548,0.5657
HGNC,Kinesins,Other,41,0.810347368,0.789577193
HGNC,Kruppel like factors,Other,14,0.724635088,0.717238596
HGNC,La ribonucleoproteins,Other,6,0.585024561,0.579121053
HGNC,Laminin subunits,Other,11,0.695880702,0.680184211
HGNC,Galectins,Other,5,0.549059649,0.54247193
HGNC,Lipocalins,Other,8,0.656340351,0.652615789
HGNC,Calycin structural superfamily,Other,22,0.669680702,0.66487193
HGNC,Low density lipoprotein receptors,Signaling,13,0.724280702,0.707329825
HGNC,LYR motif containing,Other,8,0.581715789,0.566870175
HGNC,Maestro heat like repeat containing ,Other,9,0.564792982,0.548008772
HGNC,MAX dimerization proteins,Other,7,0.597557895,0.596266667
HGNC,Mitochondrial respiratory chain complexes,Other,45,0.626007018,0.60007193
HGNC,Mitochondrial complex I: NADH:ubiquinone oxidoreductase subunits,Other,35,0.610684211,0.588838596
HGNC,Mitochondrial respiratory chain complex assembly factors,Other,37,0.642536842,0.616203509
HGNC,Mitochondrial ribosomal proteins,Other,71,0.650364912,0.627594737
HGNC,MOB kinase activators,Other,6,0.635733333,0.607717544
HGNC,Mucins,Other,14,0.600459649,0.587524561
HGNC,Mitogen-activated protein kinases,Signaling,12,0.728059649,0.713717544
HGNC,Mitogen-activated protein kinase cascade,Signaling,56,0.887736842,0.864654386
HGNC,Mitogen-activated protein kinase kinases,Signaling,7,0.624385965,0.610607018
HGNC,Mitogen-activated protein kinase kinase kinases,Signaling,21,0.754470175,0.729149123
HGNC,Mitogen-activated protein kinase kinase kinase kinases,Other,5,0.609701754,0.598831579
HGNC,Myosin heavy chains,Other,35,0.866750877,0.841407018
HGNC,Myosin light chains,Other,9,0.548750877,0.542152632
HGNC,Myosin binding proteins,Other,8,0.664757895,0.661007018
HGNC,N-alpha-acetyltransferase subunits,Other,11,0.581529825,0.572645614
HGNC,Netrins,Cell Adhesion,5,0.754905263,0.7396
HGNC,NOP2/Sun RNA methyltransferase family,Other,6,0.564108772,0.553008772
HGNC,NLR family,Other,14,0.58417193,0.56707193
HGNC,Nudix hydrolase family,Other,18,0.636547368,0.619810526
HGNC,OTU domain containing,Other,14,0.595105263,0.583285965
HGNC,Oxysterol binding proteins,Other,12,0.79674386,0.776375439
HGNC,Paraneoplastic Ma antigens,Other,7,0.599361404,0.588368421
HGNC,Paired boxes,Other,7,0.595263158,0.580278947
